"","variable","value","year"
"114","ppt",779.137151539268,2008
"115","ppt",730.509324820045,2009
"116","ppt",883.07167521825,2010
"117","ppt",713.67099702521,2011
"118","ppt",709.497643244859,2012
"119","ppt",839.488723254195,2013
"120","ppt",774.596423413103,2014
"121","tmx",26.4848004659305,1895
"122","tmx",26.8601522934273,1896
"123","tmx",27.9733447493869,1897
"124","tmx",27.6065397062411,1898
"125","tmx",27.0573098554148,1899
"126","tmx",28.8008614921642,1900
"127","tmx",29.3280319369361,1901
"128","tmx",27.0269728797123,1902
"129","tmx",25.7310926148567,1903
"130","tmx",25.1488198038555,1904
"131","tmx",26.075460546194,1905
"132","tmx",26.5798703008289,1906
"133","tmx",26.1860693943573,1907
"134","tmx",26.9889018171366,1908
"135","tmx",27.2754468681235,1909
"136","tmx",28.9717140768103,1910
"137","tmx",27.2808262190291,1911
"138","tmx",26.2738455373487,1912
"139","tmx",26.6176673666755,1913
"140","tmx",28.4729068478939,1914
"141","tmx",24.2531676019747,1915
"142","tmx",30.6211127231019,1916
"143","tmx",27.3430979441238,1917
"144","tmx",26.9098452234344,1918
"145","tmx",28.3657219872816,1919
"146","tmx",26.1233668304356,1920
"147","tmx",30.4004853696267,1921
"148","tmx",27.2715726868931,1922
"149","tmx",28.4528917220362,1923
"150","tmx",25.5028191921176,1924
"151","tmx",27.4822387766359,1925
"152","tmx",27.1052529211219,1926
"153","tmx",25.5264228343592,1927
"154","tmx",26.4866647743954,1928
"155","tmx",27.8328218654419,1929
"156","tmx",28.7446227759041,1930
"157","tmx",29.3463076332958,1931
"158","tmx",27.9677755499941,1932
"159","tmx",29.5608387304578,1933
"160","tmx",28.6669574286678,1934
"161","tmx",29.6218252937888,1935
"162","tmx",32.0725565343014,1936
"163","tmx",29.3532389731718,1937
"164","tmx",27.9807185610635,1938
"165","tmx",28.5458489046835,1939
"166","tmx",28.1496713761359,1940
"167","tmx",28.2203918305193,1941
"168","tmx",26.165074979105,1942
"169","tmx",28.4415462021641,1943
"170","tmx",26.6372652138366,1944
"171","tmx",25.9461223432744,1945
"172","tmx",27.2905734489323,1946
"173","tmx",29.7410908083041,1947
"174","tmx",27.7097520249302,1948
"175","tmx",28.0239491849313,1949
"176","tmx",25.2890699204756,1950
"177","tmx",26.229018952219,1951
"178","tmx",27.3779917361975,1952
"179","tmx",27.0229765533779,1953
"180","tmx",27.1416401851006,1954
"181","tmx",29.7596235738455,1955
"182","tmx",26.4606842746029,1956
"183","tmx",28.2769054385754,1957
"184","tmx",26.7808405817088,1958
"185","tmx",27.7159519665844,1959
"186","tmx",27.035370766837,1960
"187","tmx",27.5990795804242,1961
"188","tmx",26.2365867149724,1962
"189","tmx",28.0465325184575,1963
"190","tmx",28.8176076224996,1964
"191","tmx",25.7913507203422,1965
"192","tmx",29.1322878130004,1966
"193","tmx",26.0162153806666,1967
"194","tmx",26.1583930170236,1968
"195","tmx",28.4561530327471,1969
"196","tmx",28.5478201310187,1970
"197","tmx",26.2569597946316,1971
"198","tmx",25.4120378372129,1972
"199","tmx",26.9785314609183,1973
"200","tmx",28.7217583040255,1974
"201","tmx",28.4047815540252,1975
"202","tmx",28.7268407424096,1976
"203","tmx",28.1253636575618,1977
"204","tmx",26.2503373732128,1978
"205","tmx",26.8660307351609,1979
"206","tmx",28.1017798056696,1980
"207","tmx",26.774119513217,1981
"208","tmx",27.1651986778381,1982
"209","tmx",29.1470619473126,1983
"210","tmx",27.6305281880791,1984
"211","tmx",26.7823733568411,1985
"212","tmx",26.8911832958479,1986
"213","tmx",28.1548689524577,1987
"214","tmx",29.8893891042794,1988
"215","tmx",28.5697051519692,1989
"216","tmx",26.096721867458,1990
"217","tmx",26.9913683732046,1991
"218","tmx",23.3818252902848,1992
"219","tmx",25.5053390691731,1993
"220","tmx",25.1413112706138,1994
"221","tmx",27.0452058646393,1995
"222","tmx",25.9872853411178,1996
"223","tmx",25.756626278974,1997
"224","tmx",26.6983104314321,1998
"225","tmx",27.8431942868645,1999
"226","tmx",25.5990368360453,2000
"227","tmx",27.1868063038046,2001
"228","tmx",28.4215205618582,2002
"229","tmx",27.5352954439977,2003
"230","tmx",24.9757144627476,2004
"231","tmx",27.5176629677871,2005
"232","tmx",29.1121485258867,2006
"233","tmx",27.178102759102,2007
"234","tmx",26.2313275197564,2008
"235","tmx",23.8065320406952,2009
"236","tmx",27.0156795096487,2010
"237","tmx",28.2838263809648,2011
"238","tmx",29.6357396279598,2012
"239","tmx",26.1837820544414,2013
"240","tmx",24.8016446668275,2014
"241","tmi",-20.053918900515,1895
"242","tmi",-15.1286527718264,1896
"243","tmi",-17.3288184016107,1897
"244","tmi",-15.9372199847338,1898
"245","tmi",-20.6112733705965,1899
"246","tmi",-20.169571295217,1900
"247","tmi",-18.3660762566581,1901
"248","tmi",-15.1333441231527,1902
"249","tmi",-17.2701961888564,1903
"250","tmi",-22.4806962286755,1904
"251","tmi",-19.9273843586309,1905
"252","tmi",-16.6624260088967,1906
"253","tmi",-19.0232340516813,1907
"254","tmi",-14.2035898501006,1908
"255","tmi",-15.6987592830754,1909
"256","tmi",-18.6190382682023,1910
"257","tmi",-18.4156890960686,1911
"258","tmi",-25.8439842756483,1912
"259","tmi",-18.4297423507001,1913
"260","tmi",-21.2923645990601,1914
"261","tmi",-17.081337985209,1915
"262","tmi",-18.1728813293385,1916
"263","tmi",-22.0734011565645,1917
"264","tmi",-21.7660507171919,1918
"265","tmi",-17.446537580556,1919
"266","tmi",-20.3942654342288,1920
"267","tmi",-11.859182074155,1921
"268","tmi",-17.6870426496146,1922
"269","tmi",-19.9205758572376,1923
"270","tmi",-21.0656815051793,1924
"271","tmi",-16.999024543343,1925
"272","tmi",-15.4637236973351,1926
"273","tmi",-17.6480963846788,1927
"274","tmi",-14.484920165775,1928
"275","tmi",-22.9795436444395,1929
"276","tmi",-20.2874322468132,1930
"277","tmi",-10.8257625578401,1931
"278","tmi",-14.1947541828284,1932
"279","tmi",-17.5498660647543,1933
"280","tmi",-16.955760023644,1934
"281","tmi",-18.3563347459235,1935
"282","tmi",-24.5527617729765,1936
"283","tmi",-20.7324213476531,1937
"284","tmi",-16.4134556139927,1938
"285","tmi",-19.2878484180218,1939
"286","tmi",-18.5073016903071,1940
"287","tmi",-15.025784310912,1941
"288","tmi",-14.4727207823371,1942
"289","tmi",-19.0906331052278,1943
"290","tmi",-13.8972417542762,1944
"291","tmi",-16.2645151639931,1945
"292","tmi",-15.9321806175125,1946
"293","tmi",-16.2912198447728,1947
"294","tmi",-19.6655164293644,1948
"295","tmi",-16.5888531055881,1949
"296","tmi",-19.4765667169936,1950
"297","tmi",-18.0581889983646,1951
"298","tmi",-16.6795892066752,1952
"299","tmi",-13.6420451214792,1953
"300","tmi",-18.2906801873859,1954
"301","tmi",-16.358873116196,1955
"302","tmi",-16.8009705706474,1956
"303","tmi",-19.5241026725573,1957
"304","tmi",-16.8053193867629,1958
"305","tmi",-19.4253484821912,1959
"306","tmi",-14.464664234906,1960
"307","tmi",-16.8079038613262,1961
"308","tmi",-18.2564021265201,1962
"309","tmi",-20.4701920104211,1963
"310","tmi",-15.4496550245662,1964
"311","tmi",-18.6874233639622,1965
"312","tmi",-21.4189853495025,1966
"313","tmi",-19.8422163794244,1967
"314","tmi",-16.7053466683437,1968
"315","tmi",-17.2477274553851,1969
"316","tmi",-19.997400297566,1970
"317","tmi",-19.9914791229222,1971
"318","tmi",-20.1622446063915,1972
"319","tmi",-13.9460576519827,1973
"320","tmi",-16.9954558832861,1974
"321","tmi",-14.7895864722414,1975
"322","tmi",-19.010360194156,1976
"323","tmi",-22.9995442053238,1977
"324","tmi",-19.6231902363328,1978
"325","tmi",-22.2109385775303,1979
"326","tmi",-16.1222751347034,1980
"327","tmi",-15.7929079825654,1981
"328","tmi",-23.217970914795,1982
"329","tmi",-19.6997841073145,1983
"330","tmi",-17.406519871673,1984
"331","tmi",-18.8441705945393,1985
"332","tmi",-15.0181293047478,1986
"333","tmi",-12.207240940388,1987
"334","tmi",-18.6408220872056,1988
"335","tmi",-19.7090287760628,1989
"336","tmi",-14.0375089210973,1990
